"","name","decimalLatitude","decimalLongitude","scientificName","family","genus","species","year","month","day","recordedBy","identifiedBy","sex"
"2","Gryllus bimaculatus",37.233668,-5.540231,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",2019,1,5,"Daniel",NA,NA
"3","Anacridium aegyptium",42.641257,-2.234708,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2019,1,1,"maribelmendaza",NA,NA
"4","Anacridium aegyptium",38.862083,0.01222,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,1,7,"Katja Schulz",NA,NA
"5","Schistocerca gregaria",28.052727,-16.697644,"Schistocerca gregaria (Forskål, 1775)","Acrididae","Schistocerca","Schistocerca gregaria",2018,1,29,"Rémi Mercier",NA,NA
"6","Orthoptera",39.8382,3.155394,"Orthoptera",NA,NA,NA,2018,1,29,"-1653621184",NA,NA
"7","Acrotylus insubricus",28.098104,-17.345953,"Acrotylus insubricus (Scopoli, 1786)","Acrididae","Acrotylus","Acrotylus insubricus",2018,1,14,"1315648783",NA,NA
"8","Anacridium aegyptium",36.69,-6.14,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,1,25,"https://natusfera.gbif.es/users/815",NA,NA
"9","Aiolopus strepens",28.318902,-16.809252,"Aiolopus strepens (Latreille, 1804)","Acrididae","Aiolopus","Aiolopus strepens",2018,1,24,"Rémi Mercier",NA,NA
"10","Anacridium aegyptium",38.866168,0.008786,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,1,4,"Katja Schulz",NA,NA
"11","Aiolopus puissanti",28.010999,-16.650153,"Aiolopus puissanti Defaut, 2005","Acrididae","Aiolopus","Aiolopus puissanti",2018,1,30,"Rémi Mercier",NA,NA
"12","Acrotylus insubricus",28.146301,-14.229359,"Acrotylus insubricus (Scopoli, 1786)","Acrididae","Acrotylus","Acrotylus insubricus",2018,2,19,"177731058",NA,NA
"13","Anacridium aegyptium",38.909163,-0.229156,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,2,4,"supergan",NA,NA
"14","Acrotylus insubricus",28.604719,-14.016495,"Acrotylus insubricus (Scopoli, 1786)","Acrididae","Acrotylus","Acrotylus insubricus",2018,2,4,"-1820517330",NA,NA
"15","Dericorys lobata",28.700573,-14.015066,"Dericorys lobata (Brullé, 1840)","Dericorythidae","Dericorys","Dericorys lobata",2018,3,4,"-238942269",NA,NA
"16","Anacridium aegyptium",41.69,2.49,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,3,13,"https://natusfera.gbif.es/users/1116",NA,NA
"17","Anacridium aegyptium",41.52,0.33,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,3,28,"https://natusfera.gbif.es/users/1967",NA,NA
"18","Aiolopus strepens",39.449317,-3.607421,"Aiolopus strepens (Latreille, 1804)","Acrididae","Aiolopus","Aiolopus strepens",2018,3,26,"Mathew Zappa",NA,NA
"19","Locusta migratoria",39.759068,3.329372,"Locusta migratoria (Linnaeus, 1758)","Acrididae","Locusta","Locusta migratoria",2018,3,30,"-754740083",NA,NA
"20","Pyrgomorpha conica",38.02,-0.65,"Pyrgomorpha conica (Olivier & G.A., 1791)","Pyrgomorphidae","Pyrgomorpha","Pyrgomorpha conica",2018,3,10,"https://natusfera.gbif.es/users/2030",NA,NA
"21","Aiolopus strepens",43.395966,-8.196834,"Aiolopus strepens (Latreille, 1804)","Acrididae","Aiolopus","Aiolopus strepens",2018,3,4,"341470196",NA,NA
"22","Gryllotalpa gryllotalpa",36.81,-5.37,"Gryllotalpa gryllotalpa (Linnaeus, 1758)","Gryllotalpidae","Gryllotalpa","Gryllotalpa gryllotalpa",2018,3,27,"https://natusfera.gbif.es/users/815",NA,NA
"23","Anacridium aegyptium",42.180127,2.896356,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,3,16,"mammal",NA,NA
"24","Anacridium aegyptium",41.401406,2.33324,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,3,27,"John Palmer",NA,NA
"25","Dericorys lobata",28.700573,-14.015066,"Dericorys lobata (Brullé, 1840)","Dericorythidae","Dericorys","Dericorys lobata",2018,3,16,"-238942269",NA,NA
"26","Anacridium aegyptium",36.758697,-3.952272,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,3,26,"wlw",NA,NA
"27","Anacridium aegyptium",41.52,0.35,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,3,29,"https://natusfera.gbif.es/users/190",NA,NA
"28","Dericorys lobata",28.673269,-13.958473,"Dericorys lobata (Brullé, 1840)","Dericorythidae","Dericorys","Dericorys lobata",2018,3,11,"-238942269",NA,NA
"29","Anacridium aegyptium",37.011476,-4.555509,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,3,29,"Susanne Vogel",NA,NA
"30","Truxalis nasuta",27.913602,-15.667805,"Truxalis nasuta (Linnaeus, 1758)","Acrididae","Truxalis","Truxalis nasuta",2018,3,29,"artdivcan",NA,NA
"31","Cyrtaspis scutata",43.393612,-8.193136,"Cyrtaspis scutata (Charpentier, 1825)","Tettigoniidae","Cyrtaspis","Cyrtaspis scutata",2018,3,3,"341470196",NA,NA
"32","Dericorys lobata",28.700573,-14.015066,"Dericorys lobata (Brullé, 1840)","Dericorythidae","Dericorys","Dericorys lobata",2018,3,9,"-238942269",NA,NA
"33","Acanthacris ruficornis",36.43,-6.23,"Acanthacris ruficornis (Fabricius, 1787)","Acrididae","Acanthacris","Acanthacris ruficornis",2018,4,28,"https://natusfera.gbif.es/users/2139",NA,NA
"34","Cyrtaspis scutata",41.86,2.68,"Cyrtaspis scutata (Charpentier, 1825)","Tettigoniidae","Cyrtaspis","Cyrtaspis scutata",2018,4,30,"https://natusfera.gbif.es/users/2171",NA,NA
"35","Anacridium aegyptium",37.022642,-4.567282,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,4,20,"Susanne Vogel",NA,NA
"36","Orthoptera",36.4,-6.15,"Orthoptera",NA,NA,NA,2018,4,28,"https://natusfera.gbif.es/users/2374",NA,NA
"37","Gryllus campestris",43.33634,-2.653519,"Gryllus campestris Linnaeus, 1758","Gryllidae","Gryllus","Gryllus campestris",2018,4,2,"Anton Dublang Arsuaga",NA,NA
"38","Tettigonia viridissima",41.44,2.16,"Tettigonia viridissima (Linnaeus, 1758)","Tettigoniidae","Tettigonia","Tettigonia viridissima",2018,4,30,"https://natusfera.gbif.es/users/3810",NA,NA
"39","Anacridium aegyptium",39.827744,3.077786,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,4,6,"ajdg",NA,NA
"40","Anacridium aegyptium",36.777241,-4.938309,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,4,6,"hhbruun",NA,NA
"41","Orthoptera",41.36,2.18,"Orthoptera",NA,NA,NA,2018,4,27,"https://natusfera.gbif.es/users/3007",NA,NA
"42","Sphingonotus rubescens",28.645496,-17.760643,"Sphingonotus rubescens (Walker & F., 1870)","Acrididae","Sphingonotus","Sphingonotus rubescens",2018,4,1,"-1510526472",NA,NA
"43","Gryllus bimaculatus",36.4,-6.15,"Gryllus bimaculatus De Geer, 1773","Gryllidae","Gryllus","Gryllus bimaculatus",2018,4,28,"https://natusfera.gbif.es/users/2374",NA,NA
"44","Gryllotalpa gryllotalpa",40.567707,-3.933281,"Gryllotalpa gryllotalpa (Linnaeus, 1758)","Gryllotalpidae","Gryllotalpa","Gryllotalpa gryllotalpa",2018,4,26,"borjagps",NA,NA
"45","Anacridium aegyptium",38.127822,-0.687995,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,4,1,"Andrew Lamb",NA,NA
"46","Truxalis nasuta",36.859283,-2.447175,"Truxalis nasuta (Linnaeus, 1758)","Acrididae","Truxalis","Truxalis nasuta",2018,5,27,"n30byn31b",NA,NA
"47","Tettigonia viridissima",41.563234,2.19851,"Tettigonia viridissima (Linnaeus, 1758)","Tettigoniidae","Tettigonia","Tettigonia viridissima",2018,5,4,"carettacaretta",NA,NA
"48","Anacridium aegyptium",39.886261,2.999074,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,5,31,"1981642196",NA,NA
"49","Orthoptera",39.491264,-6.414391,"Orthoptera",NA,NA,NA,2018,5,13,"-658151596",NA,NA
"50","Anacridium aegyptium",39.915062,4.236492,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,5,14,"Àlex Cortada",NA,NA
"51","Acanthacris ruficornis",36.614065,-6.059495,"Acanthacris ruficornis (Fabricius, 1787)","Acrididae","Acanthacris","Acanthacris ruficornis",2018,5,3,"Stan van Remmerden",NA,NA
"52","Anacridium aegyptium",41.28,2.1,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,5,3,"https://natusfera.gbif.es/users/3212",NA,NA
"53","Anacridium aegyptium",39.753449,-0.223294,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,5,31,"supergan",NA,NA
"54","Acrididae",40.29,-3.79,"Acrididae","Acrididae",NA,NA,2018,5,20,"https://natusfera.gbif.es/users/2969",NA,NA
"55","Anacridium aegyptium",36.742164,-4.099333,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,5,4,"Mark Wright",NA,NA
"56","Orthoptera",28.646366,-17.761824,"Orthoptera",NA,NA,NA,2018,5,28,"-1082328577",NA,NA
"57","Pezotettix giornae",37.840682,-6.040496,"Pezotettix giornae (Rossi, 1794)","Acrididae","Pezotettix","Pezotettix giornae",2018,5,21,"Humberto Ferrón Jiménez",NA,NA
"58","Anacridium aegyptium",40.194275,-5.154603,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,5,5,"536054906",NA,NA
"59","Acrididae",40.4,-3.68,"Acrididae","Acrididae",NA,NA,2018,5,8,"https://natusfera.gbif.es/users/338",NA,NA
"60","Acrididae",38.6,-0.1,"Acrididae","Acrididae",NA,NA,2018,5,26,"naturelover|questagame.com",NA,NA
"61","Anacridium aegyptium",36.390005,-5.647583,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,5,17,"SJDipper",NA,NA
"62","Tettigonia viridissima",42.184395,2.85156,"Tettigonia viridissima (Linnaeus, 1758)","Tettigoniidae","Tettigonia","Tettigonia viridissima",2018,6,1,"mammal",NA,NA
"63","Gryllotalpa gryllotalpa",39.813126,4.279459,"Gryllotalpa gryllotalpa (Linnaeus, 1758)","Gryllotalpidae","Gryllotalpa","Gryllotalpa gryllotalpa",2018,6,29,"mantismadness",NA,NA
"64","Anacridium aegyptium",38.839314,-0.042444,"Anacridium aegyptium (Linnaeus, 1764)","Acrididae","Anacridium","Anacridium aegyptium",2018,6,29,"Donna's Utopia",NA,NA
"65","Gryllus campestris",42.644405,-7.131185,"Gryllus campestris Linnaeus, 1758","Gryllidae","Gryllus","Gryllus campestris",2018,6,16,"Martiño Cabana Otero",NA,NA
"66","Acrotylus",40.119942,-5.853089,"Acrotylus Fieber, 1853","Acrididae","Acrotylus",NA,2018,6,13,"-658151596",NA,NA
"67","Tettigonia viridissima",42.833545,-2.67285,"Tettigonia viridissima (Linnaeus, 1758)","Tettigoniidae","Tettigonia","Tettigonia viridissima",2018,7,8,"garnikaisabel",NA,NA
"68","Uromenus rugosicollis",41.652783,2.688186,"Uromenus rugosicollis (Serville, 1838)","Tettigoniidae","Uromenus","Uromenus rugosicollis",2018,7,14,"ant-toniscla",NA,NA
