"","species","family","decimalLatitude","decimalLongitude","taxa"
"1","Gryllus bimaculatus","Gryllidae",37.233668,-5.540231,"ortoptera"
"2","Anacridium aegyptium","Acrididae",42.641257,-2.234708,"ortoptera"
"3","Anacridium aegyptium","Acrididae",38.862083,0.01222,"ortoptera"
"4","Schistocerca gregaria","Acrididae",28.052727,-16.697644,"ortoptera"
"5",NA,NA,39.8382,3.155394,"ortoptera"
"6","Acrotylus insubricus","Acrididae",28.098104,-17.345953,"ortoptera"
"7","Anacridium aegyptium","Acrididae",36.69,-6.14,"ortoptera"
"8","Aiolopus strepens","Acrididae",28.318902,-16.809252,"ortoptera"
"9","Anacridium aegyptium","Acrididae",38.866168,0.008786,"ortoptera"
"10","Aiolopus puissanti","Acrididae",28.010999,-16.650153,"ortoptera"
"11","Acrotylus insubricus","Acrididae",28.146301,-14.229359,"ortoptera"
"12","Anacridium aegyptium","Acrididae",38.909163,-0.229156,"ortoptera"
"13","Acrotylus insubricus","Acrididae",28.604719,-14.016495,"ortoptera"
"14","Dericorys lobata","Dericorythidae",28.700573,-14.015066,"ortoptera"
"15","Anacridium aegyptium","Acrididae",41.69,2.49,"ortoptera"
"16","Anacridium aegyptium","Acrididae",41.52,0.33,"ortoptera"
"17","Aiolopus strepens","Acrididae",39.449317,-3.607421,"ortoptera"
"18","Locusta migratoria","Acrididae",39.759068,3.329372,"ortoptera"
"19","Pyrgomorpha conica","Pyrgomorphidae",38.02,-0.65,"ortoptera"
"20","Aiolopus strepens","Acrididae",43.395966,-8.196834,"ortoptera"
"21","Gryllotalpa gryllotalpa","Gryllotalpidae",36.81,-5.37,"ortoptera"
"22","Anacridium aegyptium","Acrididae",42.180127,2.896356,"ortoptera"
"23","Anacridium aegyptium","Acrididae",41.401406,2.33324,"ortoptera"
"24","Dericorys lobata","Dericorythidae",28.700573,-14.015066,"ortoptera"
"25","Anacridium aegyptium","Acrididae",36.758697,-3.952272,"ortoptera"
"26","Anacridium aegyptium","Acrididae",41.52,0.35,"ortoptera"
"27","Dericorys lobata","Dericorythidae",28.673269,-13.958473,"ortoptera"
"28","Anacridium aegyptium","Acrididae",37.011476,-4.555509,"ortoptera"
"29","Truxalis nasuta","Acrididae",27.913602,-15.667805,"ortoptera"
"30","Cyrtaspis scutata","Tettigoniidae",43.393612,-8.193136,"ortoptera"
"31","Dericorys lobata","Dericorythidae",28.700573,-14.015066,"ortoptera"
"32","Acanthacris ruficornis","Acrididae",36.43,-6.23,"ortoptera"
"33","Cyrtaspis scutata","Tettigoniidae",41.86,2.68,"ortoptera"
"34","Anacridium aegyptium","Acrididae",37.022642,-4.567282,"ortoptera"
"35",NA,NA,36.4,-6.15,"ortoptera"
"36","Gryllus campestris","Gryllidae",43.33634,-2.653519,"ortoptera"
