"","name","decimalLatitude","decimalLongitude","scientificName","family","genus","species","year","month","day","recordedBy","identifiedBy","sex"
"2","Chiroptera",38.024639,-0.658044,"Chiroptera",NA,NA,NA,2018,1,4,"-542876060",NA,NA
"3","Miniopterus schreibersii",38.239153,-3.940206,"Miniopterus schreibersii (Kuhl, 1817)","Miniopteridae","Miniopterus","Miniopterus schreibersii",2018,1,30,"pfaucher",NA,NA
"4","Chiroptera",39.783215,2.787094,"Chiroptera",NA,NA,NA,2018,1,23,"-1653621184",NA,NA
"5","Miniopterus schreibersii",38.205702,-3.837779,"Miniopterus schreibersii (Kuhl, 1817)","Miniopteridae","Miniopterus","Miniopterus schreibersii",2018,2,3,"vmoser",NA,NA
"6","Pipistrellus",41.86,1.44,"Pipistrellus Kaup, 1829","Vespertilionidae","Pipistrellus",NA,2018,5,6,"https://natusfera.gbif.es/users/1036",NA,NA
"7","Chiroptera",39.322739,2.996173,"Chiroptera",NA,NA,NA,2018,7,31,"-2057092445",NA,NA
"8","Chiroptera",39.319027,2.991371,"Chiroptera",NA,NA,NA,2018,7,29,"-2057092445",NA,NA
"9","Chiroptera",39.32552,3.002819,"Chiroptera",NA,NA,NA,2018,8,18,"-2057092445",NA,NA
"10","Chiroptera",39.550117,2.734909,"Chiroptera",NA,NA,NA,2018,8,18,"-2057092445",NA,NA
"11","Chiroptera",39.322739,2.996173,"Chiroptera",NA,NA,NA,2018,8,2,"-2057092445",NA,NA
"12","Chiroptera",39.322739,2.996173,"Chiroptera",NA,NA,NA,2018,8,1,"-2057092445",NA,NA
"13","Plecotus austriacus",43.164814,-7.599229,"Plecotus austriacus (J.Fischer, 1829)","Vespertilionidae","Plecotus","Plecotus austriacus",2018,8,3,"Anxos Romeo Barreiro",NA,NA
"14","Chiroptera",39.464958,3.280277,"Chiroptera",NA,NA,NA,2018,9,19,"790589800",NA,NA
"15","Chiroptera",39.464958,3.280277,"Chiroptera",NA,NA,NA,2018,9,23,"790589800",NA,NA
"16","Chiroptera",36.22142,-6.062285,"Chiroptera",NA,NA,NA,2018,11,17,"-619538877",NA,NA
"17","Pipistrellus pygmaeus",40.659,0.676,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2017,1,7,NA,NA,NA
"18","Myotis daubentonii",42.151,2.765,"Myotis daubentonii (Kuhl, 1817)","Vespertilionidae","Myotis","Myotis daubentonii",2017,2,17,NA,NA,NA
"19","Pipistrellus pipistrellus",41.619,2.683,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2017,2,17,NA,NA,NA
"20","Pipistrellus pygmaeus",41.283,2.063,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2017,2,22,NA,NA,NA
"21","Chiroptera",39.441696,-5.315301,"Chiroptera",NA,NA,NA,2017,3,11,"-194279275",NA,NA
"22","Rhinolophus hipposideros",42.625,1.336,"Rhinolophus hipposideros (Bechstein, 1800)","Rhinolophidae","Rhinolophus","Rhinolophus hipposideros",2017,3,22,NA,NA,NA
"23","Chiroptera",39.664104,-5.940943,"Chiroptera",NA,NA,NA,2017,3,7,"-194279275",NA,NA
"24","Chiroptera",36.717697,-4.423027,"Chiroptera",NA,NA,NA,2017,3,31,"-742136095",NA,NA
"25","Pipistrellus pipistrellus",41.619,2.671,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2017,3,7,NA,NA,NA
"26","Pipistrellus pygmaeus",41.663,2.442,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2017,4,8,NA,NA,NA
"27","Chiroptera",42.175819,3.095607,"Chiroptera",NA,NA,NA,2017,4,4,"-542876060",NA,NA
"28","Chiroptera",42.175762,3.095501,"Chiroptera",NA,NA,NA,2017,4,11,"-542876060",NA,NA
"29","Rhinolophus ferrumequinum",42.3,1.67,"Rhinolophus ferrumequinum (Schreber, 1774)","Rhinolophidae","Rhinolophus","Rhinolophus ferrumequinum",2017,4,29,"https://natusfera.gbif.es/users/489",NA,NA
"30","Chiroptera",42.189354,3.082867,"Chiroptera",NA,NA,NA,2017,4,8,"-542876060",NA,NA
"31","Chiroptera",39.319027,2.991371,"Chiroptera",NA,NA,NA,2017,5,7,"-91736799",NA,NA
"32","Pipistrellus pygmaeus",41.617,2.166,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2017,5,27,NA,NA,NA
"33","Pipistrellus pygmaeus",41.654,2.442,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2017,5,27,NA,NA,NA
"34","Pipistrellus pygmaeus",41.536,2.203,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2017,5,13,NA,NA,NA
"35","Rhinolophus hipposideros",42.476,0.999,"Rhinolophus hipposideros (Bechstein, 1800)","Rhinolophidae","Rhinolophus","Rhinolophus hipposideros",2017,5,20,NA,NA,NA
"36","Pipistrellus pygmaeus",41.645,2.406,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2017,5,27,NA,NA,NA
"37","Eptesicus serotinus",41.081,1.054,"Eptesicus serotinus (Schreber, 1774)","Vespertilionidae","Eptesicus","Eptesicus serotinus",2017,5,6,NA,NA,NA
"38","Pipistrellus pipistrellus",41.645,2.406,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2017,5,27,NA,NA,NA
"39","Pipistrellus pipistrellus",41.5,2.252,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2017,5,13,NA,NA,NA
"40","Pipistrellus pipistrellus",41.654,2.442,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2017,5,27,NA,NA,NA
"41","Eptesicus serotinus",41.645,2.406,"Eptesicus serotinus (Schreber, 1774)","Vespertilionidae","Eptesicus","Eptesicus serotinus",2017,5,27,NA,NA,NA
"42","Rhinolophus hipposideros",41.979,2.608,"Rhinolophus hipposideros (Bechstein, 1800)","Rhinolophidae","Rhinolophus","Rhinolophus hipposideros",2017,6,4,NA,NA,NA
"43","Pipistrellus pipistrellus",41.771,2.381,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2017,6,3,NA,NA,NA
"44","Pipistrellus pygmaeus",41.726,2.442,"Pipistrellus pygmaeus (Leach, 1825)","Vespertilionidae","Pipistrellus","Pipistrellus pygmaeus",2017,6,16,NA,NA,NA
"45","Eptesicus serotinus",41.527,2.18,"Eptesicus serotinus (Schreber, 1774)","Vespertilionidae","Eptesicus","Eptesicus serotinus",2017,6,2,NA,NA,NA
"46","Myotis daubentonii",41.979,2.608,"Myotis daubentonii (Kuhl, 1817)","Vespertilionidae","Myotis","Myotis daubentonii",2017,6,4,NA,NA,NA
"47","Pipistrellus pipistrellus",41.771,2.393,"Pipistrellus pipistrellus (Schreber, 1774)","Vespertilionidae","Pipistrellus","Pipistrellus pipistrellus",2017,6,4,NA,NA,NA
"48","Myotis daubentonii",41.771,2.381,"Myotis daubentonii (Kuhl, 1817)","Vespertilionidae","Myotis","Myotis daubentonii",2017,6,3,NA,NA,NA
"49","Nyctalus leisleri",41.971,1.558,"Nyctalus leisleri (Kuhl, 1817)","Vespertilionidae","Nyctalus","Nyctalus leisleri",2017,7,26,NA,NA,NA
"50","Myotis emarginatus",42.063255,2.997487,"Myotis emarginatus (E.Geoffroy, 1806)","Vespertilionidae","Myotis","Myotis emarginatus",2017,7,24,"mammal",NA,NA
"51","Barbastella barbastellus",42.03,1.992,"Barbastella barbastellus (Schreber, 1774)","Vespertilionidae","Barbastella","Barbastella barbastellus",2017,7,29,NA,NA,NA
